2018-06-08 09:13:49.099 [main] WARN  c.n.c.sources.URLConfigurationSource -No URLs will be polled as dynamic configuration sources.
2018-06-08 09:13:50.098 [main] WARN  o.s.c.n.a.ArchaiusAutoConfiguration -No spring.application.name found, defaulting to 'application'
2018-06-08 09:13:50.099 [main] WARN  c.n.c.sources.URLConfigurationSource -No URLs will be polled as dynamic configuration sources.
2018-06-08 09:13:51.322 [main] WARN  o.s.c.s.e.EurekaStarterDeprecationWarningAutoConfiguration -spring-cloud-starter-eureka is deprecated as of Spring Cloud Netflix 1.4.0, please migrate to spring-cloud-starter-netflix-eureka
2018-06-08 09:13:51.442 [main] WARN  o.s.j.e.a.AnnotationMBeanExporter -Bean with key 'routesEndpoint' has been registered as an MBean but has no exposed attributes or operations
2018-06-08 09:13:51.461 [main] WARN  o.s.j.e.a.AnnotationMBeanExporter -Bean with key 'filtersEndpoint' has been registered as an MBean but has no exposed attributes or operations
2018-06-08 09:13:52.742 [main] WARN  socketio.service.MessageHubService -消息服务尝试开启
2018-06-08 09:13:52.787 [main] WARN  socketio.service.MessageHubService -消息服务开启成功
2018-06-08 09:20:24.669 [nioEventLoopGroup-3-1] WARN  s.service.ConnectModuleService -Connect|handler|1b616d8e-49eb-4616-b240-bf01ea28179f
2018-06-08 09:21:49.709 [pool-10-thread-1] WARN  s.service.ConnectModuleService -disConnect|handler|1b616d8e-49eb-4616-b240-bf01ea28179f
2018-06-08 09:21:49.725 [pool-10-thread-1] WARN  s.service.ConnectModuleService -disPoollisten|handel|1b616d8e-49eb-4616-b240-bf01ea28179f
2018-06-08 09:36:34.690 [main] WARN  c.n.c.sources.URLConfigurationSource -No URLs will be polled as dynamic configuration sources.
2018-06-08 09:36:35.767 [main] WARN  o.s.c.n.a.ArchaiusAutoConfiguration -No spring.application.name found, defaulting to 'application'
2018-06-08 09:36:35.768 [main] WARN  c.n.c.sources.URLConfigurationSource -No URLs will be polled as dynamic configuration sources.
